
中 国 象 棋 对 局 记 录
-------------------------------------------------
对局名称：红方[689] - 黑方[811]
比赛日期：2016年12月27日20时  比赛地点：
红    方：木易四郎(05355621689)  耗时：  2分 24秒
黑    方：温柔一刀(jyq0811)  耗时：  4分  1秒
比赛结果：    裁判员：
-------------------------------------------------
棋谱   红方           黑方
  1.  炮二平五       马２进３
  2.  马二进三       炮８平５
  3.  车一平二       马８进７
  4.  兵三进一       卒３进１
  5.  马八进七       炮２平１
  6.  仕四进五       车１平２
  7.  车九平八       车２进６
  8.  兵五进一       马３进４
  9.  兵五进一       卒５进１
 10.  马三进四       马４进３
 11.  炮五进五       象７进５
 12.  马四进三       马３退５
 13.  马三退五       士４进５
 14.  马七进六       炮１平２
 15.  马六退八       炮２进５
 16.  车八进二       马７进６
 17.  车二进三       车９平７
 18.  马八进六       车７进５
 19.  车二平四       车７进４
 20.  仕五退四       卒３进１
 21.  马六进七       马６进７
 22.  马五退七       马７进８
